Sangwei Lu
Abigail De Kosnik
Kathryn De Master
Nicholas de Monchaux
Imke de Pater
Karen A. De Valois
Jan de Vries
Terrence Deacon
Elizabeth Deakin
Amy Rose Deal
Michael Dear
Julianna Deardorff
Patricia Dechow
Ivonne del Valle
Brian DeLay
Stefano DellaVigna
J. Bradford DeLong
James Demmel
Donald DePaolo
Armen Der Kiureghian
Abby Dernburg
Thomas M. Devine
Michael DeWeese
Margaret (Penny) Dhaemers
Hari Dharan
Marian Cleeves Diamond
William E. Dietrich
Robert DiMartino
Waverly Ding
Nicholas Dirks
Andrea A. diSessa
Mary Ann Doane
Richard S. Dodd
Frederick Dolan
Daylet Dominguez
Kathleen Donegan
David Dornfeld
Jennifer A. Doudna
Beshara Doumani
William Dow
David E. Dowall
Fiona M. Doyle
John A. Dracup
Douglas Dreger
Stuart Dreyfus
David Drubin
William J. Drummond
Oscar Dubon
Sandrine Dudoit
Joseph Duggan
Paul Duguid
Leonard Duhl
Ian Duncan
Sunil Dutta
Lauren B. Edelman
Sandra Eder
Sandra Eder
Aaron S. Edlin
Alexei Efros
Barry Eichengreen
Michael B. Eisen
Melvin A. Eisenberg
David Eisenbud
Maria L. Ekstrand
Laurent El Ghaoui
Noureddine El Karoui
Damian Elias
William Russell Ellis
Nadia Ellis
Susanna Elm
Jay M. Enoch
Laura Enriquez
Brenda Eskenazi
Samera Esmeir
Lawrence Craig Evans
Peter Evans
Steven Evans
J. W. Evans
Sally K. Fairfax
Joel Fajans
Eric Falci
Roger Falcone
Thibault Fally
Qintao Fan
Daniel A. Farber
Joseph Farrell
Munis D. Faruqui
Paula Fass
Richard J. Fateman
Charles B. Faulhaber
Ron Fearing
Malcolm M. Feeley
Lewis J. Feldman
Jacob Feldman
Jerome A. Feldman
Dan Feldman
Keith Feldman
Karen Feldman
Pnina Feldman
Marla Feller
Mariane Ferme
Lia Fernald
Carlos Fernandez-Pello
Giovanni R. F. Ferrari
Paul Fine
Mary K. Firestone
Gary Firestone
Claude Fischer
Aaron Fisher
Brian L. Fisher
Anthony C. Fisher
Will Fithian
John G. Flannery
Suzanne M.J. Fleiszig
Sharon E. Fleming
Graham R. Fleming
Laurel Fletcher
Daniel Alden Fletcher
William A. Fletcher
Catherine Flynn
Mostafa A. Foda
Louise P. Fortmann
Marion Fourcade
Armando Fox
Harrison S. Fraker
Matthew B. Francis
Anne-lise Francois
Gordon W. Frankie
Michael Franklin
Massimiliano Fratoni
William Frazer
Jean M. J. Frechet
Victoria Frede
Sarah Warshauer Freedman
Michael Freeling
Walter Freeman
Ralph D. Freeman
Edward Frenkel
Michael Frenklach
David Frick
Beate Fricke
Lee Friedman
William Fuchs
Douglas W. Fuerstenau
Mia Fuller
Ashok Gadgil
Susanne Gahl
Mary K. Gaillard
Sean Gailmard
Catherine Gallagher
Jack L. Gallant
Eileen D. Gambrill
Joshua Gang
Ori Ganor
Matteo Garbelotto
Lisa Garcia Bedolla
Sanjam Garg
Mark Garman
Andrew Garrett
Gian Garriga
William L. Garrison
Michael Gastpar
Maryl Gearhart
Reinhard Genzel
John Gerhart
Paul L. Gersper
Paul Gertler
Wayne M. Getz
Bernard R. Gifford
Richard Gilbert
Rosemary G. Gillespie
Hannah Ginsborg
Alexandre Givental
Andreas Glaeser
Steven D. Glaser
Jack Glaser
N. Louise Glass
Roger Glassey
Alfred E. Glassgold
Britt Glaunsinger
Peter Glazer
Rashi Glazer
Alexander Glazer
Evelyn Nakano Glenn
Stephen E. Glickman
Luba Golburt
Thomas B. Gold
Robert P. Goldman
Sally J. Sutherland Goldman
Allen Goldstein
Joshua Goldstein
Thomas Goldstein
Anu Gomez
Xiaohua Gong
Marcial Gonzalez
Richard E. Goodman
Leo A. Goodman
Kevis Goodman
Alison Gopnik
Cynthia Gorney
Philip Gotanda
Pierre-Olivier Gourinchas
Sanjay Govindjee
Paul Grabowicz
Nelson H. H. Graburn
Bryan Graham
James R. Graham
Martin H. Graham
Susan L. Graham
David B. Graves
Paul R. Gray
A. James Gregor
Ralph Greif
Mark Griffith
Costas P. Grigoropoulos
Karsten Gronert
Ronald Gronsky
Ramin Grosfoguel
Joan Grossman
Joan Grossman
Gregory Grossman
Paul Groth
Jay T. Groves
F. Alberto Grunbaum
Jose Guajardo
Sylvia Guendelman
Suzanne Guerlac
Jocelyne Guilbault
Ture Gustafson
Andrew P. Gutierrez
Maria Paz Gutierrez
Andrew T. Guzman
Junko Habu
Jeffrey Hadler
Hartmut Haeffner
Gunilla Haegerstrom-Portnoy
Erwin Hahn
Mark Haiman
Nils Hakansson
Edward C. Halbach Jr.
Ole Hald
Dorothy Hale
Bronwyn Hall
Lawrence Hall
Eugene E. Haller
Christopher Hallett
Jodi Halpern
Helen Halpin
Eugene A. Hammel
S. Katharine Hammond
Ming Hammond
Timothy Hampton
Benjamin Handel
W. Michael Hanemann
Ian F. Haney Lopez
William F. Hanks
Mark Hansen
Kristin Hanson
David Harding
Iswar Hariharan
Richard Harland
Robert Harley
Leo A. Harrington
Robert Harris
Charles B. Harris
Robert A. Harris
Michael G. Harris
Eva Harris
Jenny Harrison
Michael A. Harrison
George L. Hart
Kausalya Hart
John Harte
Bjoern Hartmann
Robin C. Hartshorne
John F. Hartwig
Allison Harvey
Brian Harvey
Yoko Hasegawa
Robert Hass
Ron E. Hassner
Christine Hastorf
Frank Hauser
Heather Haveman
Wick Haxton
Cori Hayden
Tyrone B. Hayes
Teresa L. Head-Gordon
Martin P. Head-Gordon
Rebecca W. Heald
Kevin Edward Healy
Marti Hearst
John Hearst
Clayton H. Heathcock
J. Karl Hedrick
Carl Heiles
Wolfgang Heimpel
Beate H. Heinemann
Lyn Hejinian
Marc Hellerstein
Frances Hellman
Ravenna Helson
Ronald Hendel
David Henkin
Charles Henry
Benjamin Hermalin
Slawomir W. Hermanowicz
Richard K. Hernandez
Amy Herr
Kate Heslop
Carla Hesse
John R. Hetland
Carole S. Hickman
Patricia Hilden
Paul N. Hilfinger
Richard Hindle
Stephen Hinshaw
Leanne L. Hinton
Charles Hirschkind
Leslea Hlusko
Dorit Hochbaum
Darleane C. Hoffman
Stefan-Ludwig Hoffmann
Gary B. Holland
Wesley Holliday
David Hollinger
Susan D. Holloway
Ian Holmes
James Holston
Olga Holtz
Renate Holub
William Holzapfel
Elizabeth A Honig
Walter Hood
Chris Jay Hoofnagle
Petr Horava
Alexander J. Horne
H. Mack Horton
Arpad Horvath
Peter Hosemann
Michael Hout
Hilary Hoynes
Wu-Yi Hsiang
Chenming Calvin Hu
Haiyan Huang
Olga Raevsky Hughes
Shari Huhndorf
Glynda Hull
David Hult
Michael Hutchings
Richard Hutson
Malo Hutson
Larry M. Hyman
Michael Iarocci
C. William Ibbs
Enrique Iglesia
Nicholas Ingolia
Lynn Ingram
Sharon Inkelas
Andrew Isaacs
Ehud Isacoff
Susan L. Ivey
Richard Ivry
Lisa Iwamoto
Ganesh Iyer
Shannon Jackson
John David Jackson
Lucia Jacobs
Robert Jacobsen
Dwight Jaffee
William Jagust
Abdul JanMohamed
Michael Jansson
Janet Jansson
Ali Javey
Martin Jay
Raymond Jeanloz
David Jenkins
Nicholas Jewell
Linda Jewell
Michael Johns
Lane Johnson
David G. Johnson
Nicole Bastian Johnson
Jennifer Johnson-Hanks
Vaughan F. R. Jones
Andrew F. Jones
Donna Jones
Stephanie Jones-Rogers
Michael Jordan
Anthony D. Joseph
Anne Joseph O'Connell
Rosemary A. Joyce
Sanford H. Kadish
Anton Kaes
Robert A. Kagan
William M. Kahan
Victoria Kahn
Abhishek Kaicker
Paul Kalas
Yehuda Kalay
Philip M. Kaminsky
Daniel Kammen
Adib Kanafani
Kuniyoshi Kanai
Caroline Kane
Tabitha Kanogo
Selig N. Kaplan
Jerome Karabel
Shachar Kariv
Richard Karp
Larry S. Karp
Gary Karpen
William E. Kastenberg
Alexander Katz
Michael Katz
Randy Katz
Daniela Kaufer
Cari Kaufman
Allan Kaufman
Robert Kaufman
David H. Kavanaugh
Darya Kavitskaya
Paul Kay
Herma H. Kay
Homayoon Kazerooni
Jay D. Keasling
Tony M. Keaveny
David N. Keightley
Nina Maggi Kelly
James M. Kelly
Dacher Keltner
Cheryl A. Kerfeld
Richard Kern
Elaine H. Kim
Tsu-Jae King Liu
Patrick V. Kirch
James Kirchner
Thomas Kirchstetter
David Kirp
Jack Kirsch
Charles Kittel
Michael Klass
Daniel Klein
Richard Klein
Stanley Klein
Patrick Kline
Judith P. Klinman
Jeffrey Knapp
Edgar Knobloch
Arash Komeili
Kyriakos Komvopoulos
Yaniv Konchitchki
G. Mathias Kondolf
Catherine Koshland
Douglas Koshland
Richard H. Kramer
Claire Kramsch
Bryan Krantz
Ronald Krauss
Laura Kray
Lance Kriegsfeld
Ann Kring
Chana Kronfeld
John D. Kubiatowicz
Isao Kubo
Andreas Kuehlmann
Karl Kullmann
Sanjay Kumar
John Kuriyan
Marika Kuzma
SanSan Kwan
Eileen A. Lacey
Jeffrey T. LaFrance
Michel Laguerre
Robin T. Lakoff
George P. Lakoff
Stephan Lammel
Lewis R. Lancaster
David Landreth
Robert S. Lane
Celeste Langan
Alessandra Lanzara
Thomas Laqueur
Barbara Laraia
Niklaus Largier
Margaret Larkin
Laurel Larsen
Ray R. Larson
Joyce Lashof
Kam Y. Lau
Jean Lave
Alastair N Lawrence
Robert C. Leachman
Taeku Lee
Ronald Lee
Edward A. Lee
Dung-Hai Lee
Adrian Lee
R. Sherman Lehman
Steven L. Lehman
George Leitmann
Hayne Leland
Peggy G. Lemaux
Gabriel Lenz
Jonathan Leonard
Thomas C. Leonard
Amy Lerman
"William A. Lester, Jr."
Martin Lettau
Shai Levi
Gregory P. A. Levine
David Levine
Michael Levine
Jonah D. Levy
Linda Lewin
Jovan Lewis
Vernard Lewis
Shaofan Li
Paul Licht
Allan J. Lichtenberg
William Lidicker
Michael A. Lieberman
David Lieberman
Dorian Liepmann
Raymond Lifchez
Ethan A. Ligon
Han Lim
Andrew Lim
Susan Lin
James Lincoln
David R. Lindberg
Stuart Linn
Marcia Linn
Polina Lishko
Judith Warren Little
David Littlejohn
Anthony A. Long
Cynthia Looy
Margaretta Lovell
Sheng Luan
Jacob Lubliner
Rita Lucarelli
Samuel Lucas
Michael Lucey
Paul L. Ludden
Kam-Biu Luk
Michael (Miki) Lustig
Richard Lyons
Fai Ma
Chung-Pei Ma
Roya Maboudian
Robert MacCoun
Elizabeth Macdonald
John MacFarlane
Terry E. Machen
Emily Mackil
Samer Madanat
Ian Maddieson
Jeremy Magruder
Michel Maharbiz
Lisa Maher
Stephen A. Mahin
Jabari Mahiri
Saba Mahmood
Thomas Maimone
Marcin Majda
Jitendra Malik
Richard Malkin
Ulrike Malmendier
Paolo Mancosu
Robert Mandell
Stanley Mandelstam
Michael Manga
Alaa Mansour
Beatriz Manz
Samuel S. Mao
Philip Marcus
Clare Cooper Marcus
Angela Marino
Samuel Markowitz
Michael A. Marletta
Susan Marqusee
Richard Marrus
Thomas Marschak
Terry Marsh
G. Steven Martin
Lane W. Martin
Andreas Martin
Waldo Martin
Michael Mascuch
Francine Masiello
Christina Maslach
Susan Maslan
Mary Ann Mason
Donald J. Mastronarde
Aila Matanock
Nicholas Mathew
Richard A. Mathies
Olga Matich
Susan Matisoff
James A. Matisoff
Michaela Mattes
David Matza
Jane Gilbert Mauldon
Iris Mauss
Maria Mavroudi
Adolf D. May
Laurent Mayali
Massimo Mazzotti
Jon McAuliffe
Kathleen McCarthy
Sheila McCormick
Justin McCrary
Dale R. McCullough
Kellie McElhaney
Jimmy A. McGuire
Ralph McKenzie
William McKillop
Daniel McKinsey
Mairi McLaughlin
Hugh McLean
Rebecca McLennan
Sara McMains
Donald McQuade
Jonas Meckling
Sanjyot Mehendale
Povindar K. Mehta
Daniel F. Melia
Anastasios Melis
Rodolfo Mendoza-Denton
Carolyn Merchant
Adina M. Merenlender
Ali Mesbah
David Messerschmitt
Kathleen E. Metz
Barbara Meyer
Lev Michael
Lorraine Midanik
James Midgley
Edward Miguel
Raymond Miles
Burkhard Militzer
Pressley Millar
Norman Miller
William H. Miller
D.A. Miller
Maureen C. Miller
Craig Miller
Nicholas J. Mills
David Milnes
Katharine V. Milton
Andrew Minor
Minoo Moallem
Jack P. Moehle
Mohammad Mofrad
Carl L. Monismith
Antonio Montalban
Paulo J. M. Monteiro
David Montejano
Donald Moore
C. Bradley Moore
Calvin C. Moore
G. Cristina Mora
Luciano G. Moretto
Patricia Morgan
John Morgan
Nelson Morgan
Craig Moritz
Max Moritz
Davitt Moroney
Calvin Morrill
H. Frank Morrison
Khalid M. Mosalam
Gavriel Moses
Elchanan Mossel
Scott Moura
David Mowery
Bharati Mukherjee
Richard S. Muller
Susan J. Muller
Richard A. Muller
"Carlos Muձoz, Jr"
Veronique Munoz-Darde
Hitoshi Murayama
Charles E. Murgia
Erin Murphy-Graham
Michael Nachman
Michael Nacht
Ramona Naddaff
Laura Nader
Eric Naiman
Ethan Namvar
Joseph L. Napoli
Ignacio Navarrete
William W. Nazaroff
Jeffrey Neaton
George Necula
Sarah Nelson
Kara L. Nelson
Alan H. Nelson
Charlan Jeanne Nemeth
Anne Nesbet
Linda Neuhauser
Daniel M. Neumark
Andrew R. Neureuther
Eric Neuscamman
John S. Newman
Xiaoxia Newton
John Ngai
Clark Nguyen
Johanna Nichols
Charles S. Nicoll
Rasmus Nielsen
Hiroshi Nikaido
Ali M. Niknejad
Krishna K. Niyogi
Alva Noe
Eva Nogales
Maura Nolan
Deborah Nolan
Yasunori Nomura
Daniel Nomura
Maria Nondorf
Carlos Norena
Richard B. Norgaard
Eric B. Norman
Larry Nucci
Amani Nuru-Jeter
Michael Nylan
David D. O' Grady
James O'Brien
Grace D O'Connell
Patrick O'Grady
Kevin L. O'Hara
Michael O'Hare
Katherine O'Brien O'Keeffe
Daniel O'Neill
Kate O'Neill
Dara O'Rourke
David O'Sullivan
Maurice Obstfeld
Terrance Odean
Arthur E. Ogus
John J. Ohala
Donald R. Olander
William G. Oldham
Martha L. Olney
Bruno Olshausen
Martin Olsson
James Olzmann
Michael Omi
Aihwa Ong
Marcus M. Opp
Gabriel Orebi Gann
Deborah Orel-Bixler
Kurt C. Organista
Abena Osseo-Asare
Claudia P. Ostertag
Samuel Otter
Lior Pachter
Andrew Packard
Richard Packard
Nancy S. Padian
Kevin Padian
Genaro Padilla
Patrick Pagni
Nicholas Paige
Morton D. Paley
Celine Pallud
Christopher Palmer
Stephen Palmer
Marios Panagiotou
Stefania Pandolfo
Christos H. Papadimitriou
Panayiotis Papadopoulos
Nikolaos Papazarkadas
Irina Paperno
